model,dataset,gradient_approach,k,lr
fc_w=256,mnist,bp,,0.026050732201274525
fc_w=256,mnist,fg-mean,1.0,0.0005590272124235413
fc_w=256,mnist,fg-mean,2.0,0.000847756254065886
fc_w=256,mnist,fg-mean,4.0,0.0008194855342238151
fc_w=256,mnist,fg-mean,16.0,0.0014286631751645681
fc_w=256,mnist,frog,2.0,0.21136862388228783
fc_w=256,mnist,frog,4.0,0.12075085632843374
fc_w=256,mnist,frog,16.0,0.042321121032716895
fc_w=1024,mnist,bp,,0.033368928203617386
fc_w=1024,mnist,fg-mean,1.0,0.0001571811566183367
fc_w=1024,mnist,fg-mean,2.0,0.00021758718265284252
fc_w=1024,mnist,fg-mean,4.0,0.0007909307957216181
fc_w=1024,mnist,fg-mean,16.0,0.0026898189220006664
fc_w=1024,mnist,frog,2.0,0.23112137300779342
fc_w=1024,mnist,frog,4.0,0.20022286579616386
fc_w=1024,mnist,frog,16.0,0.12697730330596937
fc_w=4096,mnist,bp,,0.038668365591582154
fc_w=4096,mnist,fg-mean,1.0,7.060228314330062e-05
fc_w=4096,mnist,fg-mean,2.0,0.0001290482023086473
fc_w=4096,mnist,fg-mean,4.0,0.00017678044573134192
fc_w=4096,mnist,fg-mean,16.0,0.0004976756458628378
fc_w=4096,mnist,frog,2.0,0.4632735726539261
fc_w=4096,mnist,frog,4.0,0.35363771883903855
fc_w=4096,mnist,frog,16.0,0.2517256837472351
