function,n,gradient_approach,k,optimizer,lr,loss
rosenbrock,1,bp,,Backpropagation,0.08363729304818066,0.0
rosenbrock,1,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",0.08363729304818066,0.0
rosenbrock,1,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.09837103346067583,0.0
rosenbrock,1,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.07063849401226474,0.0
rosenbrock,1,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.08363729304818066,0.0
rosenbrock,1,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.08549408464920755,0.0
rosenbrock,1,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.08363729304818066,0.0
rosenbrock,1,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.10099246253689817,0.0
rosenbrock,2,bp,,Backpropagation,0.001989125280889771,3.7561065369118296e-10
rosenbrock,2,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",0.0007577936165762045,8.0772686317232e-09
rosenbrock,2,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.0011830579436113507,2.3309354446610087e-11
rosenbrock,2,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.0019253027431798378,4.863665026277886e-12
rosenbrock,2,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.0019693107394251714,2.2172486069393926e-11
rosenbrock,2,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.0019253027431798378,3.8490455267492507e-10
rosenbrock,2,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.0019253027431798378,3.8490455267492507e-10
rosenbrock,2,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.0019793258871001495,3.779234702960821e-10
rosenbrock,4,bp,,Backpropagation,0.0012243428954306402,1.171066799088294e-09
rosenbrock,4,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",0.0004690271479647915,2.2481722226075362e-06
rosenbrock,4,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.0007565621297632784,9.380336507547327e-09
rosenbrock,4,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.0009911771848197456,1.9099388737231493e-11
rosenbrock,4,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.0013222024074421637,2.6933122398986598e-11
rosenbrock,4,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.0019253027431798378,9.174883075502294e-11
rosenbrock,4,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.001267822183190853,5.781117806691327e-10
rosenbrock,4,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.0012243428954306402,1.171066799088294e-09
rosenbrock,8,bp,,Backpropagation,0.0011249394761094472,1.2875922550392715e-09
rosenbrock,8,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",0.00022931292831079343,0.0023791061248630285
rosenbrock,8,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.0004175222503351844,3.9858951568603516
rosenbrock,8,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.0006002295681598552,3.9858875274658203
rosenbrock,8,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.0013102761445600614,0.3719816505908966
rosenbrock,8,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.0019253027431798378,3.9858946800231934
