model,dataset,gradient_approach,k,lr
resnet18,mnist,bp,,0.1
resnet18,mnist,fg-mean,1.0,7.060228314330062e-05
resnet18,mnist,fg-mean,2.0,0.0002834512282081971
resnet18,mnist,fg-mean,4.0,0.00020958272999475213
resnet18,mnist,fg-mean,16.0,0.0004328261072053689
resnet18,mnist,frog,2.0,0.5082631224821867
resnet18,mnist,frog,4.0,0.5082631224821867
resnet18,mnist,frog,16.0,0.12150731428549984
resnet18,cifar10,bp,,0.1
resnet18,cifar10,fg-mean,1.0,0.0003376026016448421
resnet18,cifar10,fg-mean,2.0,0.0007161382642127742
resnet18,cifar10,fg-mean,4.0,0.0012916009413212505
resnet18,cifar10,fg-mean,16.0,0.0025174358955030833
resnet18,cifar10,frog,2.0,0.4863679205279614
resnet18,cifar10,frog,4.0,0.4863679205279614
resnet18,cifar10,frog,16.0,0.4863679205279614
vit,mnist,bp,,0.1
vit,mnist,fg-mean,1.0,2.067022070688222e-05
vit,mnist,fg-mean,2.0,3.391674408012374e-05
vit,mnist,fg-mean,4.0,3.5768481382380376e-05
vit,mnist,fg-mean,16.0,7.060228314330062e-05
vit,mnist,frog,2.0,0.4863679205279614
vit,mnist,frog,4.0,0.4863679205279614
vit,mnist,frog,16.0,0.4863679205279614
vit,cifar10,bp,,0.1
vit,cifar10,fg-mean,1.0,4.993077197641481e-05
vit,cifar10,fg-mean,2.0,6.605053755275529e-05
vit,cifar10,fg-mean,4.0,7.560246024423629e-05
vit,cifar10,fg-mean,16.0,0.00019345260600167632
vit,cifar10,frog,2.0,1.0
vit,cifar10,frog,4.0,1.0
vit,cifar10,frog,16.0,0.4863679205279614
